Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1836,-10,-7.9,-0.4,7.5,13.2,999.9,999.9,18.9,13.1,7.2,2,-5.1,999.9
1837,-10.3,-10.9,-3.4,5,14.9,17.9,17.9,18.6,13.6,3.6,-1.7,-9.3,4.7
1838,-15.2,-10.6,-2.2,6.7,15.5,17,20.2,19.2,14.9,4.9,-0.6,-3.4,5.5
1839,-4.5,-6.5,-6.7,1.9,15.7,18.9,24,24.4,14.4,6.2,-1.8,-15,5.9
1840,-11.8,-14.8,-6.3,4.7,13,19.2,22.4,20.3,13.6,4.8,0.2,-9.4,4.7
1841,-12,-13.6,-6,3.7,13.7,21.9,25,20.4,14.1,7.5,-0.1,-8.2,5.5
1842,-10.9,-5.7,-2,4.6,13.1,17.5,20.8,19.3,12.2,6,1.4,-4.8,6
1843,-8.2,-1.9,-1.6,5.2,12.6,22,20.8,18.8,14.4,8,-0.8,-5.4,7
1844,-7.2,-6.1,-4.5,2.9,15.4,19.2,23.7,20.9,15.5,5.4,-7.4,-14.1,5.3
1845,-8.4,-15.2,-6.2,2.7,12.4,19,21.4,20.8,13.1,5.6,0.5,-6.8,4.9
1846,-9.6,-5.6,-4,2.8,11.5,16.2,22.3,18.4,11.9,4.3,-2.9,-4.5,5.1
1847,-12.2,-6.1,-7.3,5.5,11.9,18.6,22.2,23.2,18.6,6.9,0.3,-13.1,5.7
1848,-21.6,-11.3,-3.3,11.2,13.9,22,25.4,999.9,999.9,4.7,999.9,-13,999.9
1849,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1850,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1851,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1852,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1853,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1854,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1855,-10.1,-8.7,-5.3,7.6,19.3,20,21.9,19.7,12.4,5.3,-3.2,-12.6,5.5
